日付,曜日,テーマNo,テーマ ( タイトル ),AIへの命令文の例
2030/01/01,土,No.04296,数えられる無限,無限に続くかと思われた図書館の廊下。しかし、ある日、司書が「終わり」の壁を見つけてしまう。無限が有限であったことに衝撃を受ける司書の姿を生成してください。
2030/01/02,日,No.04297,不可能なことが義務の世界,人々が「空を飛ぶこと」「壁を通り抜けること」といった物理的に不可能なことを「義務」として課せられ、必死に（しかし無駄に）実行しようとしている社会を描いてください。
2030/01/03,月,No.04298,100個が1個より少ない世界,市場で、商人が「リンゴ100個」の山と「リンゴ1個」を並べて売っているが、人々は「100個」の山を「少ない」と言い、「1個」の方に群がっている。そんな価値観が逆転した世界を描いてください。
2030/01/04,火,No.04299,「犬」と呼ばれる猫の国,その国では、すべての猫が「犬」と呼ばれ、犬小屋に住み、首輪をつけて散歩している。しかし、見た目はどう見ても猫である。そんな風景を生成してください。
2030/01/05,水,No.04300,終わりから始まる物語,老人が死の床で息を引き取った瞬間、物語が始まり、彼が赤ん坊として生まれ変わる（時間が逆行する）様子を1枚の絵で描いてください。
2030/01/06,木,No.04301,結果が原因を生む裁判,裁判所で、まず「有罪」という「結果」が宣言され、その後に、検察官と弁護士が「なぜ彼が有罪なのか」という「原因（理由）」を必死に議論し始める様子を描いてください。
2030/01/07,金,No.04302,「なぜ？」という問いが答えの世界,賢者が住む山頂で、弟子が「人生の意味とは？」と問うと、賢者はただ「なぜ？」と書かれた巻物を手渡す。その巻物が答えである。そんな禅問答のような風景を生成してください。
2030/01/08,土,No.04303,怠惰なほど速く走れる陸上選手,陸上競技のスタートラインで、他の選手が真剣な表情でクラウチングスタートの準備をする中、一人だけあくびをしながら寝そべっている選手がいる。号砲が鳴ると、その寝そべった選手が最も速くゴールする。そんな世界を描いてください。
2030/01/09,日,No.04304,未来の記憶を持つ歴史家,歴史家が、まだ起こっていない「未来の出来事」を、まるで過去の歴史のように詳細に教科書に記述している。その教科書には「2100年、第三次世界大戦」などと書かれている。そんな様子を生成してください。
2030/01/10,月,No.04305,全員がユニークな服を着た軍隊,軍隊のパレードだが、兵士たちは統一された軍服ではなく、それぞれがパンク、ゴスロリ、ヒッピーなど、非常に個性的な服装をしている。しかし、その動きは一糸乱れぬ完璧な行進である。そんな光景を描いてください。
