日付,曜日,テーマNo,テーマ ( タイトル ),AIへの命令文の例
2029/01/01,土,No.03931,希望を売る絶望商人,ボロボロのコートを着た絶望的な表情の商人が、道端で「希望」と書かれた輝く小瓶を売っている。しかし、その小瓶は空っぽである。
2029/01/02,日,No.03932,無重力刑務所,囚人たちが、重力のない宇宙空間（あるいは特別な部屋）に浮かんだまま拘束されている刑務所。脱走は不可能だが、看守も無重力で苦労している。
2029/01/03,月,No.03933,味のある無味乾燥な報告書,ビジネス用の無味乾燥な報告書（グラフや数字だらけ）。しかし、その行間からは、書いた人の強烈な感情（怒り、悲しみ、喜び）が滲み出て、読み手に伝わってくる。
2029/01/04,火,No.03934,花でできた兵器,戦場。戦車や戦闘機が、すべて色とりどりの美しい花々で構成されている。それらが発射するミサイルも、着弾すると花吹雪が舞う。
2029/01/05,水,No.03935,臆病な怪物,暗い森の奥に住む、見た目は非常に恐ろしい（牙や爪がある）怪物。しかし、実際は小さな物音にも怯え、洞窟の奥で震えている。
2029/01/06,木,No.03936,満月の夜の干潮,空には満月が輝いている（本来は満潮になるはず）。しかし、海は観測史上最大の干潮を迎え、海底が広範囲にわたって露出している。
2029/01/07,金,No.03937,蒸気で動くVRゴーグル,最先端のVR（仮想現実）ゴーグル。しかし、その動力源は電気ではなく、背中に背負った小型の蒸気機関（ボイラー）であり、煙突から煙が出ている。
2029/01/08,土,No.03938,自分の絵に閉じ込められた画家,画家が描いた風景画。その絵の中の風景に、描いたはずの画家本人が閉じ込められており、キャンバスの外（現実世界）に向かって助けを求めている。
2029/01/09,日,No.03939,時間を加速させる老人ホーム,老人ホームに入居すると、時間が通常より早く流れる。入居者たちは、穏やかな表情で、あっという間に（数日で）年老いていき、安らかに消えていく。
2029/01/10,月,No.03940,肉球のない猫,見た目は普通の可愛らしい猫。しかし、その足には肉球が一切なく、代わりに冷たい金属（あるいは硬い爪）がついている。
2029/01/11,火,No.03941,白夜の吸血鬼,太陽が沈まない白夜の国（北欧など）。吸血鬼が、日傘をさしたり、日焼け止めを塗りたくったりして、必死に太陽から逃げながら血を吸おうと苦労している。
2029/01/12,水,No.03942,悲しむことしかできないコメディアン,舞台の上で必死にジョークを飛ばし、観客を爆笑させているコメディアン。しかし、彼の目からは大粒の涙が止まらず、表情は深い悲しみに満ちている。
2029/01/13,木,No.03943,善意だけで動く戦争,二つの軍隊が激しく戦っている。しかし、彼らの動機は「相手を救うため」「相手の平和のため」という純粋な善意であり、お互いに「なぜわかってくれないんだ」と泣きながら攻撃している。
2029/01/14,金,No.03944,呼吸する建物,都市のビル群が、まるで生き物の肺のように、ゆっくりと膨張と収縮を繰り返し、「呼吸」している。窓は目のように点滅している。
2029/01/15,土,No.03945,愛を憎むキューピッド,背中に矢筒を背負ったキューピッド。しかし、その表情は愛に満ちたものではなく、人間たちの恋愛感情を激しく憎悪し、矢（愛の矢）をへし折っている。
2029/01/16,日,No.03946,空っぽの宝箱を守るドラゴン,巨大なドラゴンが、洞窟の奥で宝箱を必死に守っている。しかし、その宝箱はとっくの昔に盗賊に開けられており、中身は空っぽである。
2029/01/17,月,No.03947,数学的に完璧なカオス,一見すると完全に無秩序で混沌（カオス）とした模様や風景。しかし、それは高度な数学（フラクタル理論など）によって、完璧に計算され尽くした秩序の産物である。
2029/01/18,火,No.03948,自分の未来を覗き見る原始人,原始人が、焚き火の炎（あるいは水面）を覗き込んでいる。そこに映っているのは、未来の（現代の）高層ビル群や、自分（の子孫？）がサラリーマンとして働いている姿。
2029/01/19,水,No.03949,知識の重さで沈む島,世界中の知識（本やデータ）が集められた島（アトランティスのような）。しかし、その知識の「重さ」に耐えきれず、島全体がゆっくりと海に沈み始めている。
2029/01/20,木,No.03950,硬い枕でしか眠れない王女,「エンドウ豆一つで眠れない」ほど繊細なはずの王女。しかし、彼女が愛用しているのは、フカフカの羽毛枕ではなく、ゴツゴツした石（あるいは鉄）の枕である。
2029/01/21,金,No.03951,忘れられた救世主,かつて世界を救った英雄。しかし、人々は彼（彼女）の功績をすっかり忘れており、英雄は今、街角でホームレスとして物乞いをしている。
2029/01/22,土,No.03952,電子回路のタトゥーを持つ原住民,アマゾンの奥地などに住む原住民。彼らの体には、伝統的な部族の模様と共に、光る電子回路（基板パターン）のタトゥーが刻まれている。
2029/01/23,日,No.03953,モノクロの蝶,色鮮やかであるはずのアゲハ蝶やモルフォ蝶。しかし、その羽はすべて白黒のモノトーンであり、インクが滲んだように飛んでいる。
2029/01/24,月,No.03954,慈悲深い死神,死神（鎌を持った骸骨）が、死期が近い老人の手を優しく握り、怖がらせないように穏やかな笑顔（？）で、安らかな死へと導いている。
2029/01/25,火,No.03955,音のないディスコ,クラブ（ディスコ）で大勢の人々が激しく踊っている。しかし、音楽は一切流れておらず、全員がワイヤレスヘッドホンをしており、外部からは無音の中で狂ったように踊る集団に見える。
