日付,曜日,テーマNo,テーマ ( タイトル ),AIへの命令文の例
2028/01/01,木,No.03565,浮遊する海の難破船,海底ではなく、空中に浮かぶ海（大気中の水溜まり？）で、古い木製の難破船が、雲と共に静かに漂っているシュールな風景を描いてください。
2028/01/02,金,No.03566,悲しみの色を売る店,市場の一角で、店主が「悲しみ」「憂鬱」といった感情を、青や灰色の液体として瓶詰めにして販売している。人々がその「色」を買い求めている様子を描いてください。
2028/01/03,土,No.03567,氷河期に咲くハイビスカス,すべてが氷と雪で覆われた氷河期の世界で、一輪だけ、鮮やかな赤いハイビスカスが、氷を突き破って咲き誇っている奇跡的な光景を描いてください。
2028/01/04,日,No.03568,影のない世界,真夏の太陽が照りつけているにもかかわらず、人物や建物、木々など、すべての物から影が一切消え去った、のっぺりとした違和感のある世界を描いてください。
2028/01/05,月,No.03569,機械仕掛けの妖精,森の中で、本来は自然の化身であるはずの妖精が、羽は歯車で、体は真鍮でできた機械仕掛け（スチームパンク風）の姿で飛び回っている様子を描いてください。
2028/01/06,火,No.03570,言葉で橋を架ける,二つの絶壁の間で、人々が「愛」や「信頼」といったポジティブな言葉を投げかけると、その言葉が実体化して積み重なり、頑丈な橋が架かっていく様子を描いてください。
2028/01/07,水,No.03571,静止した爆発,都市の中心で大爆発が起こった瞬間、炎、煙、破片の全てが、時間が止まったかのように空中で完全に静止している様子を、ドラマチックな構図で描いてください。
2028/01/08,木,No.03572,笑う仮面をつけた泣き虫のピエロ,派手な衣装で、満面の笑みを浮かべた仮面をつけているピエロが、舞台の裏で、その仮面の下で号泣している姿を描いてください。
2028/01/09,金,No.03573,砂漠に降る雪,灼熱の太陽が照りつける広大な砂漠で、砂丘が真っ白になるほどの大雪が降っている、ありえない気象現象を描いてください。
2028/01/10,土,No.03574,重力を無視するバレリーナ,バレリーナが、物理法則を無視して、壁や天井を、まるで床であるかのように優雅に踊りながら移動している、不思議なダンスシーンを描いてください。
2028/01/11,日,No.03575,過去を食べる怪物,人々が忘れたい「過去の記憶」を、霧や影のような姿をした怪物が、その人の頭から吸い出して食べている、恐ろしくも救いのある光景を描いてください。
2028/01/12,月,No.03576,生きた建築,建物自体が生命を持っており、呼吸するように壁が脈動したり、窓が瞬きしたり、地形に合わせてゆっくりと移動したりする、生物的な都市を描いてください。
2028/01/13,火,No.03577,ネオンの森と機械の動物,夜の森が、木々自体がネオンサインのように様々な色で発光しており、そこを歩き回る動物たち（鹿や兎）が、金属と歯車でできた機械の姿をしている風景を描いてください。
2028/01/14,水,No.03578,白黒の世界に現れた一輪の赤い花,周囲の風景も人物もすべてが白黒（モノクローム）の世界で、地面に咲いた一輪の花だけが、鮮烈な「赤色」をしている、際立った対比を描いてください。
2028/01/15,木,No.03579,水面を歩く人々,海や湖の上を、人々がボートや橋を使うのではなく、まるで地面を歩くかのように、水面に足跡（波紋）を残しながら普通に歩いている日常風景を描いてください。
2028/01/16,金,No.03580,考えることをやめた哲学者,「我思う、故に我あり」と書かれた石碑の前で、哲学者が「もう考えるのは疲れた」と、あぐらをかいて瞑想（あるいは昼寝）をしている、皮肉な情景を描いてください。
2028/01/17,土,No.03581,木製の宇宙服,宇宙空間を遊泳する宇宙飛行士が、ハイテク素材ではなく、木材と革、真鍮の部品で手作りされた、アンティークで温かみのある「木製の宇宙服」を着ている姿を描いてください。
2028/01/18,日,No.03582,臆病なヒーロー,マントをつけ、いかにもヒーローらしい格好をしているが、悪役を前にして（あるいは高いところに登って）足がすくみ、情けなく怯えているヒーローの姿を描いてください。
2028/01/19,月,No.03583,声が形になる世界,人々が話すと、その「声」が、発言者の感情や言葉の意味に応じた様々な形（例：優しい言葉は花、怒鳴り声はトゲ）となって空中に実体化する様子を描いてください。
2028/01/20,火,No.03584,逆さまに成長する木,木が、根を空に向けて伸ばし、枝や葉を地中深くに広げている、上下逆さまに成長する奇妙な森の風景を描いてください。
2028/01/21,水,No.03585,沈む太陽と昇る月が同時に存在する空,空の片方では太陽が地平線に沈もうとし、もう片方では満月が昇ろうとしている。二つの天体が同時に、同じ大きさで空に存在する幻想的な夕暮れ（あるいは夜明け）を描いてください。
2028/01/22,木,No.03586,図書館の本から溢れ出す物語の世界,図書館で開かれた本から、インクが溢れ出すように、その物語の登場人物や風景（例：城、ドラゴン、森）が、ミニチュアサイズで実体化し、机の上に広がっている様子を描いてください。
2028/01/23,金,No.03587,怒りを鎮めるための嵐,荒れ狂う嵐（暴風雨）が、人々の心の「怒り」を鎮めるために、意図的に発生している。嵐が過ぎ去った後、人々は穏やかな表情になっている様子を描いてください。
